4,10,-1
4,11,-1
4,12,-1
4,13,-1
4,14,-1
4,15,-1
4,16,-1
4,17,-1
4,18,-1
4,19,-1
4,20,-1
4,21,-1
4,22,-1
4,23,-1
4,24,-1
4,25,-1
5,10,-1
5,11,-1
5,12,-1
5,13,-1
5,14,-1
5,15,-1
5,16,-1
5,17,-1
5,18,-1
5,19,-1
5,20,-1
5,21,-1
5,22,-1
5,23,-1
5,24,-1
5,25,-1
6,3,-1
6,4,-1
6,5,-1
6,30,-1
6,31,-1
6,32,-1
7,3,-1
7,4,-1
7,5,-1
7,30,-1
7,31,-1
7,32,-1
8,3,-1
8,4,-1
8,5,-1
9,3,-1
9,4,-1
9,5,-1
9,30,-1
9,31,-1
9,32,-1
10,3,-1
10,4,-1
10,5,-1
10,30,-1
10,31,-1
10,32,-1
11,3,-1
11,4,-1
11,5,-1
11,30,-1
11,31,-1
11,32,-1
12,3,-1
12,4,-1
12,5,-1
12,30,-1
12,31,-1
12,32,-1
13,3,-1
13,4,-1
13,5,-1
13,30,-1
13,31,-1
13,32,-1
14,3,-1
14,4,-1
14,5,-1
14,30,-1
14,31,-1
14,32,-1
15,3,-1
15,4,-1
15,5,-1
15,30,-1
15,31,-1
15,32,-1
16,3,-1
16,4,-1
16,5,-1
16,6,-1
16,7,-1
16,8,-1
16,9,-1
16,10,-1
16,11,-1
16,12,-1
16,13,-1
16,14,-1
16,15,-1
16,16,-1
16,17,-1
16,18,-1
16,19,-1
16,20,-1
16,21,-1
16,22,-1
16,23,-1
16,24,-1
16,25,-1
16,26,-1
16,27,-1
16,28,-1
16,29,-1
16,30,-1
16,31,-1
16,32,-1
17,10,-1
17,11,-1
17,12,-1
17,13,-1
17,14,-1
17,15,-1
17,16,-1
17,17,-1
17,18,-1
17,19,-1
17,20,-1
17,21,-1
17,22,-1
17,23,-1
17,24,-1
17,25,-1
6,10,1
6,11,1
6,12,1
